game_string,half_inning_id,at_bat,base_state,outs_inning,is_final_pa,is_home_run,pa_runs_contribution,runs_remaining
y1_d061_VKA_PHD,1,1,0,0,False,False,0.0,0.0
y1_d061_VKA_PHD,1,2,0,1,False,False,0.0,0.0
y1_d061_VKA_PHD,1,3,0,2,True,False,0.0,0.0
y1_d061_VKA_PHD,2,4,0,0,False,False,0.0,0.0
y1_d061_VKA_PHD,2,5,2,0,False,False,0.0,0.0
y1_d061_VKA_PHD,2,6,2,1,False,False,0.0,0.0
y1_d061_VKA_PHD,2,7,2,2,True,False,0.0,0.0
y1_d061_VKA_PHD,3,8,0,0,False,False,0.0,0.0
y1_d061_VKA_PHD,3,9,0,1,False,False,0.0,0.0
y1_d061_VKA_PHD,3,10,0,2,False,False,0.0,0.0
y1_d061_VKA_PHD,3,11,1,2,True,False,0.0,0.0
y1_d061_VKA_PHD,4,12,0,0,False,False,0.0,0.0
y1_d061_VKA_PHD,4,13,0,1,False,False,0.0,0.0
y1_d061_VKA_PHD,4,14,1,1,False,False,0.0,0.0
y1_d061_VKA_PHD,4,15,1,2,True,False,0.0,0.0
y1_d061_VKA_PHD,5,16,0,0,False,False,0.0,0.0
y1_d061_VKA_PHD,5,17,0,1,False,False,0.0,0.0
y1_d061_VKA_PHD,5,18,0,2,True,False,0.0,0.0
y1_d061_VKA_PHD,6,19,0,0,False,False,0.0,2.0
y1_d061_VKA_PHD,6,20,1,0,False,False,-1.0,2.0
y1_d061_VKA_PHD,6,21,7,0,False,False,1.0,3.0
y1_d061_VKA_PHD,6,22,7,0,False,False,2.0,2.0
y1_d061_VKA_PHD,6,23,4,1,True,False,0.0,0.0
y1_d061_VKA_PHD,7,24,0,0,False,False,0.0,0.0
y1_d061_VKA_PHD,7,25,0,1,False,False,0.0,0.0
y1_d061_VKA_PHD,7,26,0,2,True,False,0.0,0.0
y1_d061_VKA_PHD,8,27,0,0,False,False,0.0,0.0
y1_d061_VKA_PHD,8,28,1,0,False,False,0.0,0.0
y1_d061_VKA_PHD,8,29,2,1,False,False,0.0,0.0
y1_d061_VKA_PHD,8,30,4,2,True,False,0.0,0.0
y1_d061_VKA_PHD,9,31,0,0,False,False,0.0,0.0
y1_d061_VKA_PHD,9,32,1,0,False,False,0.0,0.0
y1_d061_VKA_PHD,9,33,1,1,True,False,0.0,0.0
y1_d061_VKA_PHD,10,34,0,0,False,False,0.0,1.0
y1_d061_VKA_PHD,10,35,0,1,False,True,1.0,1.0
y1_d061_VKA_PHD,10,36,0,1,False,False,0.0,0.0
y1_d061_VKA_PHD,10,37,0,2,False,False,0.0,0.0
y1_d061_VKA_PHD,10,38,1,2,True,False,0.0,0.0
y1_d061_VKA_PHD,11,39,0,0,False,False,0.0,0.0
y1_d061_VKA_PHD,11,40,1,0,False,False,0.0,0.0
y1_d061_VKA_PHD,11,41,1,1,False,False,0.0,0.0
y1_d061_VKA_PHD,11,42,6,1,False,False,0.0,0.0
y1_d061_VKA_PHD,11,43,7,1,True,False,0.0,0.0
y1_d061_VKA_PHD,12,44,0,0,False,False,0.0,0.0
y1_d061_VKA_PHD,12,45,0,1,False,False,0.0,0.0
y1_d061_VKA_PHD,12,46,0,2,True,False,0.0,0.0
y1_d061_VKA_PHD,13,47,0,0,False,False,0.0,0.0
y1_d061_VKA_PHD,13,48,0,1,False,False,0.0,0.0
y1_d061_VKA_PHD,13,49,0,2,True,False,0.0,0.0
y1_d061_VKA_PHD,14,50,0,0,False,False,0.0,0.0
y1_d061_VKA_PHD,14,51,0,1,False,False,0.0,0.0
y1_d061_VKA_PHD,14,52,0,2,True,False,0.0,0.0
y1_d061_VKA_PHD,15,53,0,0,False,False,0.0,0.0
y1_d061_VKA_PHD,15,54,0,1,False,False,0.0,0.0
y1_d061_VKA_PHD,15,55,0,2,True,False,0.0,0.0
y1_d061_VKA_PHD,16,56,0,0,False,False,0.0,0.0
y1_d061_VKA_PHD,16,57,1,0,False,False,0.0,0.0
y1_d061_VKA_PHD,16,58,1,1,False,False,0.0,0.0
y1_d061_VKA_PHD,16,59,1,2,True,False,0.0,0.0
y1_d061_VKA_PHD,17,60,0,0,False,False,0.0,1.0
y1_d061_VKA_PHD,17,61,1,0,False,False,0.0,1.0
y1_d061_VKA_PHD,17,62,3,0,False,False,1.0,1.0
y1_d061_VKA_PHD,17,63,4,1,False,False,0.0,0.0
y1_d061_VKA_PHD,17,64,3,1,True,False,0.0,0.0
y1_d062_VKA_PHD,1,1,0,0,False,False,0.0,0.0
y1_d062_VKA_PHD,1,2,0,1,False,False,0.0,0.0
y1_d062_VKA_PHD,1,3,0,2,True,False,0.0,0.0
y1_d062_VKA_PHD,2,4,0,0,False,False,0.0,0.0
