pitcher,pitch_type_label,count,avg_release_speed_mph,avg_ivb_in,avg_hb_in,avg_hb_in_mirrored,total_pitches,usage_pct,throws
ADQ-1473,Cutter,5,90.593,10.196,0.559,-0.559,15,0.333,R
ADQ-1473,Fastball,5,89.964,10.438,-5.884,5.884,15,0.333,R
ADQ-2288,Fastball,30,93.448,11.319,-9.429,9.429,51,0.588,R
ADQ-2288,Slider,14,77.251,-4.316,8.45,-8.45,51,0.275,R
ADQ-3222,Fastball,11,94.261,15.36,-12.294,12.294,30,0.367,R
ADQ-3222,Cutter,7,92.14,9.297,0.874,-0.874,30,0.233,R
ADQ-3222,Slider,6,85.642,8.1,-0.049,0.049,30,0.2,R
ADQ-3240,Fastball,26,91.626,11.569,-6.093,6.093,72,0.361,R
ADQ-3240,Cutter,18,89.417,6.433,1.435,-1.435,72,0.25,R
ADQ-3240,Curveball,12,84.25,-3.453,-2.796,2.796,72,0.167,R
ADQ-3240,Changeup,6,83.554,2.811,-5.452,5.452,72,0.083,R
ADQ-3240,Sinker,5,89.953,5.39,-3.871,3.871,72,0.069,R
ADQ-3240,Slider,5,81.846,-0.112,1.814,-1.814,72,0.069,R
ADQ-3471,Slider,16,77.759,2.225,6.458,-6.458,35,0.457,R
ADQ-3471,Fastball,10,92.323,11.759,-7.357,7.357,35,0.286,R
ADQ-3471,Changeup,6,76.867,4.472,-0.566,0.566,35,0.171,R
ADQ-4778,Changeup,5,82.282,3.808,-7.57,7.57,15,0.333,R
ADQ-4961,Fastball,13,90.872,12.924,-8.034,8.034,29,0.448,R
ADQ-5779,Fastball,30,94.315,12.319,-6.48,6.48,83,0.361,R
ADQ-5779,Cutter,17,91.835,8.836,-0.419,0.419,83,0.205,R
ADQ-5779,Changeup,11,86.931,8.114,-11.452,11.452,83,0.133,R
ADQ-5779,Slider,10,86.886,6.851,2.141,-2.141,83,0.12,R
ADQ-5779,Curveball,9,86.016,3.97,-3.342,3.342,83,0.108,R
ADQ-5779,Sinker,6,93.435,7.681,-6.475,6.475,83,0.072,R
ADQ-6080,Slider,9,84.447,8.923,0.566,0.566,29,0.31,L
ADQ-6080,Fastball,8,89.517,10.168,9.485,9.485,29,0.276,L
ADQ-6440,Fastball,32,92.627,15.95,-9.672,9.672,72,0.444,R
ADQ-6440,Changeup,14,85.557,11.363,-13.534,13.534,72,0.194,R
ADQ-6440,Slider,13,78.005,-4.913,2.328,-2.328,72,0.181,R
ADQ-6440,Curveball,7,79.843,-13.765,7.522,-7.522,72,0.097,R
ADQ-6440,Cutter,6,88.45,7.763,-4.308,4.308,72,0.083,R
ADQ-7209,Fastball,15,88.608,14.036,10.153,10.153,35,0.429,L
ADQ-7209,Slider,11,75.258,4.407,-14.675,-14.675,35,0.314,L
ADQ-8470,Fastball,19,87.517,15.209,7.644,7.644,54,0.352,L
ADQ-8470,Cutter,14,83.465,9.179,-2.326,-2.326,54,0.259,L
ADQ-8470,Changeup,10,76.605,12.848,11.39,11.39,54,0.185,L
ADQ-8470,Curveball,6,72.295,-4.812,-9.982,-9.982,54,0.111,L
ADQ-9780,Changeup,7,80.327,10.339,-15.303,15.303,27,0.259,R
ADQ-9780,Cutter,7,92.636,12.767,-2.548,2.548,27,0.259,R
ADQ-9780,Fastball,7,93.844,16.804,-12.2,12.2,27,0.259,R
AIP-5736,Fastball,10,89.995,16.906,-3.001,3.001,17,0.588,R
AIP-5736,Slider,6,78.161,-10.839,5.867,-5.867,17,0.353,R
AIP-6003,Fastball,17,88.882,13.356,-10.119,10.119,39,0.436,R
AIP-6003,Slider,10,81.166,8.794,5.027,-5.027,39,0.256,R
AIP-6003,Sinker,5,89.177,8.157,-15.062,15.062,39,0.128,R
AIP-6151,Fastball,31,87.897,19.02,11.394,11.394,78,0.397,L
AIP-6151,Changeup,14,81.031,10.316,14.207,14.207,78,0.179,L
AIP-6151,Slider,13,81.276,13.72,1.137,1.137,78,0.167,L
AIP-6151,Cutter,10,84.67,12.602,4.976,4.976,78,0.128,L
AIP-6151,Curveball,6,77.677,1.073,-6.537,-6.537,78,0.077,L
AIP-9490,Cutter,9,89.943,14.528,6.807,6.807,22,0.409,L
AIP-9490,Fastball,7,91.482,15.585,13.204,13.204,22,0.318,L
AIP-9858,Fastball,8,92.817,13.439,3.757,3.757,27,0.296,L
AIP-9858,Cutter,6,91.836,12.336,-6.223,-6.223,27,0.222,L
ALC-0293,Fastball,11,92.778,14.722,7.598,7.598,23,0.478,L
ALC-0293,Slider,11,80.635,-8.682,-2.839,-2.839,23,0.478,L
ALC-0359,Fastball,9,90.721,10.794,15.21,15.21,19,0.474,L
ALC-0359,Slider,8,80.6,-0.322,-4.633,-4.633,19,0.421,L
ALC-4842,Fastball,25,90.775,9.955,-13.598,13.598,66,0.379,R
ALC-4842,Slider,12,80.678,3.194,1.186,-1.186,66,0.182,R
ALC-4842,Sinker,9,90.657,0.631,-12.054,12.054,66,0.136,R
ALC-4842,Changeup,8,82.314,6.763,-11.762,11.762,66,0.121,R
ALC-4842,Curveball,6,77.968,-6.469,8.027,-8.027,66,0.091,R
ALC-4842,Cutter,6,86.431,7.709,-2.515,2.515,66,0.091,R
ALC-7338,Fastball,11,95.307,15.315,-6.02,6.02,17,0.647,R
ALC-9294,Fastball,22,85.27,16.867,10.038,10.038,67,0.328,L
ALC-9294,Slider,21,72.944,2.774,-2.766,-2.766,67,0.313,L
ALC-9294,Changeup,18,72.941,2.059,10.575,10.575,67,0.269,L
ANI-0328,Fastball,27,91.644,16.74,12.156,12.156,65,0.415,L
ANI-0328,Cutter,11,89.668,11.719,0.127,0.127,65,0.169,L
ANI-0328,Changeup,9,83.225,11.965,13.797,13.797,65,0.138,L
ANI-0328,Slider,7,80.653,7.243,0.947,0.947,65,0.108,L
ANI-0328,Curveball,6,78.691,-0.079,-2.288,-2.288,65,0.092,L
ANI-0328,Sinker,5,92.077,7.278,11.955,11.955,65,0.077,L
ANI-0623,Fastball,176,92.024,15.202,-7.846,7.846,406,0.433,R
ANI-0623,Slider,103,80.442,1.226,6.031,-6.031,406,0.254,R
ANI-0623,Curveball,44,77.435,-7.565,4.64,-4.64,406,0.108,R
ANI-0623,Changeup,30,84.053,8.246,-8.819,8.819,406,0.074,R
ANI-0623,Cutter,29,87.593,10.719,1.025,-1.025,406,0.071,R
ANI-0623,Sinker,24,90.189,5.23,-4.519,4.519,406,0.059,R
ANI-0690,Fastball,119,88.099,14.806,-4.44,4.44,305,0.39,R
ANI-0690,Cutter,79,82.547,7.068,4.476,-4.476,305,0.259,R
ANI-0690,Curveball,43,64.619,-2.898,5.423,-5.423,305,0.141,R
ANI-0690,Sinker,32,86.381,4.502,-3.923,3.923,305,0.105,R
ANI-0690,Slider,19,63.601,6.993,7.597,-7.597,305,0.062,R
ANI-0701,Fastball,138,92.749,14.55,-7.309,7.309,339,0.407,R
ANI-0701,Slider,76,81.041,4.603,2.931,-2.931,339,0.224,R
ANI-0701,Changeup,46,83.975,6.177,-8.207,8.207,339,0.136,R
ANI-0701,Cutter,33,88.824,7.835,0.67,-0.67,339,0.097,R
ANI-0701,Curveball,31,80.907,-1.979,0.622,-0.622,339,0.091,R
ANI-1193,Fastball,6,89.333,20.243,4.364,4.364,17,0.353,L
ANI-1262,Slider,91,87.849,9.776,0.087,-0.087,315,0.289,R
ANI-1262,Fastball,89,94.574,13.857,-10.533,10.533,315,0.283,R
ANI-1262,Cutter,48,91.759,9.833,-1.414,1.414,315,0.152,R
ANI-1262,Changeup,35,88.297,8.805,-9.404,9.404,315,0.111,R
ANI-1262,Sinker,27,93.74,6.826,-9.786,9.786,315,0.086,R
ANI-1262,Curveball,25,89.674,0.988,-2.244,2.244,315,0.079,R
ANI-1492,Fastball,192,92.147,11.536,-12.114,12.114,501,0.383,R
ANI-1492,Changeup,87,79.567,6.643,-12.73,12.73,501,0.174,R
ANI-1492,Slider,82,79.292,6.432,3.113,-3.113,501,0.164,R
ANI-1492,Cutter,51,89.584,8.158,-2.47,2.47,501,0.102,R
ANI-1492,Sinker,47,91.262,4.676,-12.981,12.981,501,0.094,R
ANI-1492,Curveball,42,82.044,-3.064,4.193,-4.193,501,0.084,R
ANI-1551,Fastball,125,93.506,16.242,4.208,4.208,316,0.396,L
ANI-1551,Cutter,49,92.208,12.226,-3.244,-3.244,316,0.155,L
ANI-1551,Changeup,39,85.245,9.665,5.668,5.668,316,0.123,L
ANI-1551,Slider,39,82.859,6.287,-4.509,-4.509,316,0.123,L
ANI-1551,Curveball,38,85.188,0.586,-0.395,-0.395,316,0.12,L
ANI-1551,Sinker,26,93.316,7.921,5.314,5.314,316,0.082,L
ANI-2218,Fastball,53,91.378,13.053,-2.308,2.308,155,0.342,R
ANI-2218,Cutter,34,88.05,10.669,3.644,-3.644,155,0.219,R
ANI-2218,Curveball,22,81.423,-0.766,-0.134,0.134,155,0.142,R
ANI-2218,Slider,18,82.112,7.094,3.527,-3.527,155,0.116,R
ANI-2218,Changeup,15,83.549,8.131,-3.575,3.575,155,0.097,R
ANI-2218,Sinker,13,89.448,6.233,-3.005,3.005,155,0.084,R
